numt, numnodes, tilesize, volume, mhs, time
32, 135, 0.000501225, 25.312939, 2.585173, 0.007050
32, 128, 0.000558001, 25.312988, 3.171462, 0.005166
32, 122, 0.000614712, 25.313038, 2.968224, 0.005014
32, 116, 0.000680529, 25.313095, 2.416448, 0.005569
32, 110, 0.000757512, 25.313163, 2.395961, 0.005050
32, 104, 0.000848336, 25.313242, 1.431661, 0.007555
32, 99, 0.00093711, 25.313320, 1.911914, 0.005126
32, 94, 0.00104058, 25.313410, 1.428501, 0.006186
32, 89, 0.00116219, 25.313517, 1.477265, 0.005362
32, 85, 0.00127551, 25.313616, 1.449728, 0.004984
32, 81, 0.00140625, 25.313730, 1.294107, 0.005070
32, 77, 0.00155817, 25.313863, 2.093216, 0.002832
32, 73, 0.00173611, 25.314019, 0.889221, 0.005993
32, 69, 0.00194637, 25.314203, 0.901369, 0.005282
32, 66, 0.00213018, 25.314364, 0.870767, 0.005002
32, 62, 0.0024187, 25.314616, 0.746622, 0.005149
32, 59, 0.00267539, 25.314840, 0.695379, 0.005006
32, 56, 0.00297521, 25.315103, 0.618445, 0.005071
32, 53, 0.0033284, 25.315411, 0.539283, 0.005209
32, 51, 0.0036, 25.315649, 0.507871, 0.005121
32, 48, 0.00407424, 25.316064, 0.463051, 0.004976
32, 46, 0.00444444, 25.316388, 0.280143, 0.007553
32, 43, 0.00510204, 25.316962, 0.361888, 0.005109
32, 41, 0.005625, 25.317420, 0.327910, 0.005126
32, 39, 0.00623269, 25.317950, 0.299957, 0.005071
32, 37, 0.00694444, 25.318572, 0.250959, 0.005455
32, 35, 0.00778547, 25.319308, 0.227896, 0.005375
32, 33, 0.00878906, 25.320185, 0.212300, 0.005130
32, 32, 0.00936524, 25.320687, 0.203398, 0.005034
32, 30, 0.0107015, 25.321854, 0.178650, 0.005038
32, 29, 0.0114796, 25.322534, 0.125569, 0.006697
32, 27, 0.0133136, 25.324136, 0.143708, 0.005073
32, 26, 0.0144, 25.325084, 0.057074, 0.011844
32, 24, 0.0170132, 25.327365, 0.113328, 0.005083
32, 23, 0.018595, 25.328745, 0.105749, 0.005002
32, 22, 0.0204082, 25.330326, 0.098664, 0.004906
32, 21, 0.0225, 25.332149, 0.075851, 0.005814
32, 20, 0.0249307, 25.334267, 0.078539, 0.005093
32, 19, 0.0277778, 25.336746, 0.051727, 0.006979
32, 18, 0.0311419, 25.339676, 0.062919, 0.005149
32, 17, 0.0351562, 25.343167, 0.057336, 0.005040
32, 16, 0.04, 25.347379, 0.049248, 0.005198
32, 15, 0.0459184, 25.352517, 0.043850, 0.005131
32, 14, 0.0532544, 25.358882, 0.038768, 0.005056
16, 32768, 8.38241e-09, 25.312500, 372.084115, 2.885750
16, 31129, 9.28838e-09, 25.312500, 384.170872, 2.522353
16, 29573, 1.02916e-08, 25.312500, 365.734406, 2.391250
16, 28094, 1.14037e-08, 25.312500, 355.017890, 2.223192
16, 26689, 1.2636e-08, 25.312500, 373.794216, 1.905601
16, 25355, 1.40007e-08, 25.312500, 367.161068, 1.750937
16, 24087, 1.55136e-08, 25.312500, 346.492013, 1.674450
16, 22883, 1.71892e-08, 25.312500, 365.797847, 1.431478
16, 21738, 1.90477e-08, 25.312500, 349.591493, 1.351694
16, 20652, 2.11038e-08, 25.312500, 353.805716, 1.205478
16, 19619, 2.33848e-08, 25.312500, 323.275662, 1.190641
16, 18638, 2.59114e-08, 25.312500, 357.304328, 0.972211
16, 17706, 2.87112e-08, 25.312500, 338.579923, 0.925933
16, 16821, 3.1812e-08, 25.312500, 333.720596, 0.847853
16, 15980, 3.52487e-08, 25.312500, 356.819823, 0.715656
16, 15181, 3.9057e-08, 25.312500, 311.983880, 0.738701
16, 14422, 4.32765e-08, 25.312500, 346.743720, 0.599850
16, 13700, 4.79584e-08, 25.312500, 326.835376, 0.574265
16, 13015, 5.31399e-08, 25.312500, 286.218883, 0.591821
16, 12365, 5.88741e-08, 25.312500, 334.988250, 0.456414
16, 11746, 6.52434e-08, 25.312500, 281.616541, 0.489916
16, 11159, 7.22886e-08, 25.312500, 288.561414, 0.431531
16, 10601, 8.00997e-08, 25.312500, 279.893443, 0.401514
16, 10071, 8.87531e-08, 25.312500, 346.428200, 0.292774
16, 9567, 9.83517e-08, 25.312500, 318.856703, 0.287049
16, 9089, 1.0897e-07, 25.312500, 285.332102, 0.289522
16, 8635, 1.20731e-07, 25.312500, 281.955014, 0.264451
16, 8203, 1.33784e-07, 25.312500, 283.106878, 0.237681
16, 7793, 1.48233e-07, 25.312500, 274.970615, 0.220863
16, 7403, 1.64265e-07, 25.312500, 251.568948, 0.217850
16, 7033, 1.82006e-07, 25.312500, 255.245465, 0.193786
16, 6681, 2.01692e-07, 25.312500, 255.007797, 0.175037
16, 6347, 2.23482e-07, 25.312500, 291.562019, 0.138168
16, 6030, 2.47601e-07, 25.312500, 287.424010, 0.126506
16, 5728, 2.74403e-07, 25.312500, 263.211290, 0.124653
16, 5442, 3.04008e-07, 25.312500, 250.343964, 0.118299
16, 5170, 3.36844e-07, 25.312500, 277.917213, 0.096176
16, 4911, 3.73319e-07, 25.312500, 246.834360, 0.097709
16, 4666, 4.13561e-07, 25.312500, 287.531717, 0.075719
16, 4432, 4.58394e-07, 25.312500, 259.817450, 0.075602
16, 4211, 5.07783e-07, 25.312500, 257.922930, 0.068751
16, 4000, 5.62781e-07, 25.312500, 248.348972, 0.064425
16, 3800, 6.23597e-07, 25.312501, 220.247012, 0.065563
16, 3610, 6.90985e-07, 25.312501, 263.372924, 0.049482
16, 3429, 7.6588e-07, 25.312501, 263.725776, 0.044584
16, 3258, 8.48412e-07, 25.312501, 254.364696, 0.041730
16, 3095, 9.4016e-07, 25.312501, 265.482864, 0.036082
16, 2940, 1.04194e-06, 25.312501, 255.132401, 0.033879
16, 2793, 1.15455e-06, 25.312501, 255.881090, 0.030486
16, 2654, 1.2787e-06, 25.312501, 276.777995, 0.025449
16, 2521, 1.41723e-06, 25.312501, 261.637114, 0.024291
16, 2395, 1.57034e-06, 25.312501, 257.336261, 0.022290
16, 2275, 1.74045e-06, 25.312502, 189.005213, 0.027384
16, 2161, 1.92901e-06, 25.312502, 201.812724, 0.023140
16, 2053, 2.13741e-06, 25.312502, 260.189022, 0.016199
16, 1950, 2.36929e-06, 25.312502, 232.668108, 0.016343
16, 1853, 2.62398e-06, 25.312502, 226.127988, 0.015184
16, 1760, 2.90878e-06, 25.312503, 251.701398, 0.012307
16, 1672, 3.22322e-06, 25.312503, 208.501769, 0.013408
16, 1589, 3.56896e-06, 25.312503, 188.745667, 0.013377
16, 1509, 3.95767e-06, 25.312503, 250.345876, 0.009096
16, 1434, 4.38278e-06, 25.312504, 193.978208, 0.010601
16, 1362, 4.85877e-06, 25.312504, 209.938086, 0.008836
16, 1294, 5.38326e-06, 25.312505, 187.710180, 0.008920
16, 1229, 5.96823e-06, 25.312505, 246.309534, 0.006132
16, 1168, 6.60847e-06, 25.312506, 202.260318, 0.006745
16, 1109, 7.331e-06, 25.312506, 242.256115, 0.005077
16, 1054, 8.11682e-06, 25.312507, 180.504877, 0.006154
16, 1001, 9e-06, 25.312508, 209.513142, 0.004783
16, 951, 9.9723e-06, 25.312509, 238.684534, 0.003789
16, 903, 1.10619e-05, 25.312510, 235.776030, 0.003458
16, 858, 1.22541e-05, 25.312511, 234.022911, 0.003146
16, 815, 1.35829e-05, 25.312512, 103.200878, 0.006436
16, 774, 1.5062e-05, 25.312513, 234.049444, 0.002560
16, 736, 1.66597e-05, 25.312515, 226.172582, 0.002395
16, 699, 1.84728e-05, 25.312516, 222.618362, 0.002195
16, 664, 2.04746e-05, 25.312519, 217.490671, 0.002027
16, 631, 2.26757e-05, 25.312520, 220.475681, 0.001806
16, 599, 2.51675e-05, 25.312522, 142.475089, 0.002518
16, 569, 2.78963e-05, 25.312524, 211.243584, 0.001533
16, 541, 3.08642e-05, 25.312527, 204.586474, 0.001431
16, 514, 3.41986e-05, 25.312530, 207.638575, 0.001272
16, 488, 3.79476e-05, 25.312533, 52.636977, 0.004524
16, 463, 4.21656e-05, 25.312537, 184.998938, 0.001159
16, 440, 4.66996e-05, 25.312541, 103.680108, 0.001867
16, 418, 5.17572e-05, 25.312545, 172.969398, 0.001010
16, 397, 5.73921e-05, 25.312550, 26.595585, 0.005926
16, 377, 6.366e-05, 25.312556, 172.116516, 0.000826
16, 359, 7.02225e-05, 25.312561, 51.762099, 0.002490
16, 341, 7.78547e-05, 25.312568, 166.628215, 0.000698
16, 324, 8.62656e-05, 25.312576, 81.126447, 0.001294
16, 307, 9.61169e-05, 25.312584, 40.183246, 0.002345
16, 292, 0.000106281, 25.312593, 142.964214, 0.000596
16, 277, 0.000118147, 25.312603, 133.271846, 0.000576
16, 263, 0.000131111, 25.312615, 23.872535, 0.002897
16, 250, 0.000145159, 25.312627, 71.582453, 0.000873
16, 238, 0.000160231, 25.312640, 109.957177, 0.000515
16, 226, 0.000177778, 25.312656, 18.921438, 0.002699
16, 214, 0.000198373, 25.312674, 100.319605, 0.000457
16, 204, 0.000218399, 25.312691, 81.184210, 0.000513
16, 194, 0.000241617, 25.312711, 16.812361, 0.002239
16, 184, 0.000268745, 25.312735, 76.607164, 0.000442
16, 175, 0.000297265, 25.312760, 59.607805, 0.000514
16, 166, 0.000330579, 25.312789, 57.277788, 0.000481
16, 158, 0.000365126, 25.312820, 62.860078, 0.000397
16, 150, 0.000405387, 25.312855, 63.171371, 0.000356
16, 142, 0.000452694, 25.312896, 8.993836, 0.002242
16, 135, 0.000501225, 25.312939, 46.996359, 0.000388
16, 128, 0.000558001, 25.312988, 47.361088, 0.000346
16, 122, 0.000614712, 25.313038, 43.180954, 0.000345
16, 116, 0.000680529, 25.313095, 41.250640, 0.000326
16, 110, 0.000757512, 25.313163, 27.641095, 0.000438
16, 104, 0.000848336, 25.313242, 2.595335, 0.004167
16, 99, 0.00093711, 25.313320, 4.753786, 0.002062
16, 94, 0.00104058, 25.313410, 26.833246, 0.000329
16, 89, 0.00116219, 25.313517, 11.656123, 0.000680
16, 85, 0.00127551, 25.313616, 5.619572, 0.001286
16, 81, 0.00140625, 25.313730, 2.578674, 0.002544
16, 77, 0.00155817, 25.313863, 19.736229, 0.000300
16, 73, 0.00173611, 25.314019, 2.572963, 0.002071
16, 69, 0.00194637, 25.314203, 13.084056, 0.000364
16, 66, 0.00213018, 25.314364, 1.769562, 0.002462
16, 62, 0.0024187, 25.314616, 12.664358, 0.000304
16, 59, 0.00267539, 25.314840, 3.622653, 0.000961
16, 56, 0.00297521, 25.315103, 0.726757, 0.004315
16, 53, 0.0033284, 25.315411, 1.133468, 0.002478
16, 51, 0.0036, 25.315649, 8.673238, 0.000300
16, 48, 0.00407424, 25.316064, 1.162374, 0.001982
16, 46, 0.00444444, 25.316388, 0.564366, 0.003749
16, 43, 0.00510204, 25.316962, 0.371317, 0.004980
16, 41, 0.005625, 25.317420, 0.372059, 0.004518
16, 39, 0.00623269, 25.317950, 5.412272, 0.000281
16, 37, 0.00694444, 25.318572, 0.275409, 0.004971
16, 35, 0.00778547, 25.319308, 1.598309, 0.000766
16, 33, 0.00878906, 25.320185, 0.226826, 0.004801
16, 32, 0.00936524, 25.320687, 0.660826, 0.001550
